Pixel,WL,Used,ADC(1)
1040,743.125,1,416
1041,743.438,1,387
1042,743.75,1,451
1043,744.063,1,478
1044,744.375,1,411
1045,744.688,1,336
1046,745,1,343
1047,745.313,1,436
1048,745.625,1,286
1049,745.938,1,476
1050,746.25,1,300
1051,746.563,1,315
1052,746.875,1,325
1053,747.188,1,339
1054,747.5,1,363
1055,747.813,1,450
1056,748.125,1,359
1057,748.438,1,398
1058,748.75,1,284
1059,749.063,1,434
1060,749.375,1,216
1061,749.688,1,375
1062,750,1,186
1063,750.278,1,279
1064,750.556,1,384
1065,750.833,1,208
1066,751.111,1,217
1067,751.389,1,272
1068,751.667,1,390
1069,751.945,1,331
1070,752.222,1,388
1071,752.5,1,376
1072,752.778,1,358
1073,753.056,1,476
1074,753.333,1,258
1075,753.611,1,417
1076,753.889,1,301
1077,754.167,1,260
1078,754.445,1,339
1079,754.722,1,403
1080,755,1,442
1081,755.278,1,399
1082,755.556,1,283
1083,755.833,1,399
1084,756.111,1,254
1085,756.389,1,334
1086,756.667,1,253
1087,756.945,1,373
1088,757.222,1,336
1089,757.5,1,359
1090,757.778,1,215
1091,758.056,1,418
1092,758.333,1,437
1093,758.611,1,332
1094,758.889,1,336
1095,759.167,1,348
1096,759.445,1,217
1097,759.722,1,375
1098,760,1,227
1099,760.278,1,248
1100,760.556,1,373
1101,760.833,1,167
1102,761.111,1,371
1103,761.389,1,266
1104,761.667,1,224
1105,761.945,1,240
1106,762.222,1,121
1107,762.5,1,226
1108,762.778,1,130
1109,763.056,1,162
1110,763.333,1,153
1111,763.611,1,215
1112,763.889,1,243
1113,764.167,1,200
1114,764.445,1,19
1115,764.722,1,131
1116,765,1,153
1117,765.278,1,168
1118,765.556,1,133
1119,765.833,1,246
1120,766.111,1,91
1121,766.389,1,272
1122,766.667,1,195
1123,766.945,1,324
1124,767.222,1,376
1125,767.5,1,131
1126,767.778,1,199
1127,768.056,1,346
1128,768.333,1,388
1129,768.611,1,386
1130,768.889,1,204
1131,769.167,1,275
1132,769.445,1,368
1133,769.722,1,296
1134,770,1,386
1135,770.345,1,297
1136,770.69,1,483
1137,771.035,1,411
1138,771.379,1,238
1139,771.724,1,445
1140,772.069,1,424
1141,772.414,1,383
1142,772.759,1,373
1143,773.104,1,384
1144,773.448,1,370
1145,773.793,1,354
1146,774.138,1,240
1147,774.483,1,362
1148,774.828,1,509
1149,775.172,1,434
1150,775.517,1,338
1151,775.862,1,474
1152,776.207,1,434
1153,776.552,1,462
1154,776.897,1,509
1155,777.241,1,390
1156,777.586,1,406
1157,777.931,1,370
1158,778.276,1,430
1159,778.621,1,528
1160,778.966,1,429
1161,779.31,1,564
1162,779.655,1,327
1163,780,1,378
1164,780.286,1,448
1165,780.571,1,258
1166,780.857,1,507
1167,781.143,1,373
1168,781.429,1,449
1169,781.714,1,314
1170,782,1,391
1171,782.286,1,460
1172,782.571,1,467
1173,782.857,1,416
1174,783.143,1,414
1175,783.429,1,466
1176,783.714,1,518
1177,784,1,301
1178,784.286,1,535
1179,784.571,1,402
1180,784.857,1,387
1181,785.143,1,434
1182,785.429,1,326
1183,785.714,1,553
1184,786,1,378
1185,786.286,1,583
1186,786.571,1,360
1187,786.857,1,439
1188,787.143,1,578
